player,team,yahoo,espn,fantrax,average
GG Jackson II,MEM,,140.0,1263.8,701.9
Gary Trent Jr.,MIL,144.5,139.9,149.9,144.8
Georges Niang,UTA,,139.8,1293.8,716.8
Giannis Antetokounmpo,MIL,4.7,4.6,6.7,5.3
Goga Bitadze,ORL,,140.0,1114.6,627.3
Gradey Dick,TOR,,139.1,156.5,147.8
Grant Williams,CHA,,,389.4,389.4
Grayson Allen,PHO,,139.5,325.8,232.7
Guerschon Yabusele,NY,,139.3,360.8,250.1
Hansen Yang,POR,152.0,139.4,263.5,185.0
Harrison Barnes,SA,,139.5,1113.1,626.3
Harrison Ingram,SAS,,193.0,,193.0
Haywood Highsmith,MIA,,140.0,1288.8,714.4
Herbert Jones,NO,129.3,134.2,117.5,127.0
Immanuel Quickley,TOR,83.3,100.9,71.4,85.2
Isaiah Collier,UTA,148.0,140.0,131.3,139.8
Isaiah Hartenstein,OKC,65.7,112.3,78.8,85.6
Isaiah Jackson,IND,,140.0,151.5,145.8
Isaiah Joe,OKC,,139.8,1244.8,692.3
Isaiah Mobley,FA,,198.0,,198.0
Isaiah Stewart,DET,,139.9,1193.8,666.9
Ivica Zubac,LAC,37.7,55.7,45.9,46.4
JD Davison,HOU,,199.0,,199.0
Ja Morant,MEM,53.0,35.1,46.2,44.8
Ja'Kobe Walter,TOR,,140.0,1285.8,712.9
Jabari Smith Jr.,HOU,136.3,135.0,133.4,134.9
Jabari Walker,PHI,,140.0,1308.8,724.4
Jaden Ivey,DET,128.3,114.3,121.3,121.3
Jaden McDaniels,MIN,121.0,113.1,97.3,110.5
Jaden Springer,NO,,140.0,1058.4,599.2
Jaime Jaquez Jr.,MIA,,140.0,1138.6,639.3
Jake LaRavia,LAL,,140.0,1207.8,673.9
Jakob Poeltl,TOR,88.7,92.0,73.0,84.6
Jalen Brunson,NY,19.0,11.6,22.2,17.6
Jalen Duren,DET,76.0,90.1,63.3,76.5
Jalen Green,PHO,78.0,50.1,71.3,66.5
Jalen Johnson,ATL,17.0,57.4,27.6,34.0
Jalen Smith,CHI,,140.0,333.1,236.6
Jalen Suggs,ORL,103.7,120.1,84.0,102.6
Jalen Williams,OKC,17.3,23.4,19.9,20.2
Jalen Wilson,BKN,,140.0,1291.8,715.9
Jamal Murray,DEN,39.3,38.4,41.5,39.7
Jamal Shead,TOR,,140.0,1226.8,683.4
James Harden,LAC,18.3,17.9,10.4,15.5
Jarace Walker,IND,,140.0,1185.4,662.7
